地区编码,产业名称,报告期编码,数据值
000000,主要原材料购进价格指数,2021-01-31,67.1
000000,主要原材料购进价格指数,2021-02-28,66.7
000000,主要原材料购进价格指数,2021-03-31,69.4
000000,主要原材料购进价格指数,2021-04-30,66.9
000000,主要原材料购进价格指数,2021-05-31,72.8
000000,主要原材料购进价格指数,2021-06-30,61.2
000000,主要原材料购进价格指数,2021-07-31,62.9
000000,主要原材料购进价格指数,2021-08-31,61.3
000000,主要原材料购进价格指数,2021-09-30,63.5
000000,主要原材料购进价格指数,2021-10-31,72.1
000000,主要原材料购进价格指数,2021-11-30,52.9
000000,主要原材料购进价格指数,2021-12-31,48.1
000000,主要原材料购进价格指数,2022-01-31,56.4
000000,主要原材料购进价格指数,2022-02-28,60.0
000000,主要原材料购进价格指数,2022-03-31,66.1
000000,主要原材料购进价格指数,2022-04-30,64.2
000000,主要原材料购进价格指数,2022-05-31,55.8
000000,主要原材料购进价格指数,2022-06-30,52.0
000000,主要原材料购进价格指数,2022-07-31,40.4
000000,主要原材料购进价格指数,2022-08-31,44.3
000000,主要原材料购进价格指数,2022-09-30,51.3
000000,主要原材料购进价格指数,2022-10-31,53.3
000000,主要原材料购进价格指数,2022-11-30,50.7
000000,主要原材料购进价格指数,2022-12-31,51.6
000000,主要原材料购进价格指数,2023-01-31,52.2
000000,主要原材料购进价格指数,2023-02-28,54.4
000000,主要原材料购进价格指数,2023-03-31,50.9
000000,主要原材料购进价格指数,2023-04-30,46.4
000000,主要原材料购进价格指数,2023-05-31,40.8
000000,主要原材料购进价格指数,2023-06-30,45.0
000000,主要原材料购进价格指数,2023-07-31,52.4
000000,供应商配送时间指数,2021-01-31,48.8
000000,供应商配送时间指数,2021-02-28,47.9
000000,供应商配送时间指数,2021-03-31,50.0
000000,供应商配送时间指数,2021-04-30,48.7
000000,供应商配送时间指数,2021-05-31,47.6
000000,供应商配送时间指数,2021-06-30,47.9
000000,供应商配送时间指数,2021-07-31,48.9
000000,供应商配送时间指数,2021-08-31,48.0
000000,供应商配送时间指数,2021-09-30,48.1
000000,供应商配送时间指数,2021-10-31,46.7
000000,供应商配送时间指数,2021-11-30,48.2
000000,供应商配送时间指数,2021-12-31,48.3
000000,供应商配送时间指数,2022-01-31,47.6
000000,供应商配送时间指数,2022-02-28,48.2
000000,供应商配送时间指数,2022-03-31,46.5
000000,供应商配送时间指数,2022-04-30,37.2
000000,供应商配送时间指数,2022-05-31,44.1
000000,供应商配送时间指数,2022-06-30,51.3
000000,供应商配送时间指数,2022-07-31,50.1
000000,供应商配送时间指数,2022-08-31,49.5
000000,供应商配送时间指数,2022-09-30,48.7
000000,供应商配送时间指数,2022-10-31,47.1
000000,供应商配送时间指数,2022-11-30,46.7
000000,供应商配送时间指数,2022-12-31,40.1
000000,供应商配送时间指数,2023-01-31,47.6
000000,供应商配送时间指数,2023-02-28,52.0
000000,供应商配送时间指数,2023-03-31,50.8
000000,供应商配送时间指数,2023-04-30,50.3
000000,供应商配送时间指数,2023-05-31,50.5
000000,供应商配送时间指数,2023-06-30,50.4
000000,供应商配送时间指数,2023-07-31,50.5
000000,原材料库存指数,2021-01-31,49.0
000000,原材料库存指数,2021-02-28,47.7
000000,原材料库存指数,2021-03-31,48.4
000000,原材料库存指数,2021-04-30,48.3
000000,原材料库存指数,2021-05-31,47.7
000000,原材料库存指数,2021-06-30,48.0
000000,原材料库存指数,2021-07-31,47.7
000000,原材料库存指数,2021-08-31,47.7
000000,原材料库存指数,2021-09-30,48.2
000000,原材料库存指数,2021-10-31,47.0
000000,原材料库存指数,2021-11-30,47.7
000000,原材料库存指数,2021-12-31,49.2
000000,原材料库存指数,2022-01-31,49.1
000000,原材料库存指数,2022-02-28,48.1
000000,原材料库存指数,2022-03-31,47.3
000000,原材料库存指数,2022-04-30,46.5
000000,原材料库存指数,2022-05-31,47.9
000000,原材料库存指数,2022-06-30,48.1
000000,原材料库存指数,2022-07-31,47.9
000000,原材料库存指数,2022-08-31,48.0
000000,原材料库存指数,2022-09-30,47.6
000000,原材料库存指数,2022-10-31,47.7
000000,原材料库存指数,2022-11-30,46.7
000000,原材料库存指数,2022-12-31,47.1
000000,原材料库存指数,2023-01-31,49.6
000000,原材料库存指数,2023-02-28,49.8
000000,原材料库存指数,2023-03-31,48.3
000000,原材料库存指数,2023-04-30,47.9
000000,原材料库存指数,2023-05-31,47.6
000000,原材料库存指数,2023-06-30,47.4
000000,原材料库存指数,2023-07-31,48.2
000000,新订单指数,2021-01-31,48.7
000000,新订单指数,2021-02-28,48.9
000000,新订单指数,2021-03-31,55.9
000000,新订单指数,2021-04-30,51.5
000000,新订单指数,2021-05-31,52.2
000000,新订单指数,2021-06-30,49.6
000000,新订单指数,2021-07-31,49.7
000000,新订单指数,2021-08-31,42.2
000000,新订单指数,2021-09-30,49.0
000000,新订单指数,2021-10-31,49.0
000000,新订单指数,2021-11-30,48.9
000000,新订单指数,2021-12-31,48.4
000000,新订单指数,2022-01-31,47.8
000000,新订单指数,2022-02-28,47.6
000000,新订单指数,2022-03-31,45.7
000000,新订单指数,2022-04-30,37.4
000000,新订单指数,2022-05-31,44.1
000000,新订单指数,2022-06-30,53.2
000000,新订单指数,2022-07-31,49.7
000000,新订单指数,2022-08-31,49.8
000000,新订单指数,2022-09-30,43.1
000000,新订单指数,2022-10-31,42.8
000000,新订单指数,2022-11-30,42.3
000000,新订单指数,2022-12-31,39.1
000000,新订单指数,2023-01-31,52.5
000000,新订单指数,2023-02-28,55.8
000000,新订单指数,2023-03-31,57.3
000000,新订单指数,2023-04-30,56.0
000000,新订单指数,2023-05-31,49.5
000000,新订单指数,2023-06-30,49.5
000000,新订单指数,2023-07-31,48.1
000000,生产指数,2021-01-31,53.5
000000,生产指数,2021-02-28,51.9
000000,生产指数,2021-03-31,53.9
000000,生产指数,2021-04-30,52.2
000000,生产指数,2021-05-31,52.7
000000,生产指数,2021-06-30,51.9
000000,生产指数,2021-07-31,51.0
000000,生产指数,2021-08-31,50.9
000000,生产指数,2021-09-30,49.5
000000,生产指数,2021-10-31,48.4
000000,生产指数,2021-11-30,52.0
000000,生产指数,2021-12-31,51.4
000000,生产指数,2022-01-31,50.9
000000,生产指数,2022-02-28,50.4
000000,生产指数,2022-03-31,49.5
000000,生产指数,2022-04-30,44.4
000000,生产指数,2022-05-31,49.7
000000,生产指数,2022-06-30,52.8
000000,生产指数,2022-07-31,49.8
000000,生产指数,2022-08-31,49.8
000000,生产指数,2022-09-30,51.5
000000,生产指数,2022-10-31,49.6
000000,生产指数,2022-11-30,47.8
000000,生产指数,2022-12-31,44.6
000000,生产指数,2023-01-31,49.8
000000,生产指数,2023-02-28,56.7
000000,生产指数,2023-03-31,54.6
000000,生产指数,2023-04-30,50.2
000000,生产指数,2023-05-31,49.6
000000,生产指数,2023-06-30,50.3
000000,生产指数,2023-07-31,50.2
